Name,Tweet,Sentiment
James,I'm feeling overwhelmed.,0
Sophia,I'm feeling optimistic about everything.,1
Daniel,I'm feeling neither happy nor sad.,2
Sophia,I'm feeling neither happy nor sad.,2
Sophia,The food at that restaurant was fantastic.,1
Alice,I'm in a bad mood.,0
Bob,I'm going to the grocery store.,2
James,Today is neither good nor bad.,2
James,This vacation was exactly what I needed.,1
John,I'm feeling so happy right now.,1
Emily,It's a standard day.,2
Daniel,I'm feeling sick.,0
Michael,I got promoted at work amazing!,1
John,I'm enjoying every moment.,1
Sophia,I'm feeling neither happy nor sad.,2
Daniel,I'm feeling really anxious.,0
Emily,I don't have strong feelings either way.,2
Olivia,I'm feeling sick.,0
Olivia,Life is good fantastic!,1
Emma,I had a terrible day.,0
James,I'm enjoying every moment.,1
Daniel,I'm disappointed with the results.,0
Emily,Just going through the motions.,2
John,It's raining outside.,2
John,It's just another typical day.,2
Olivia,I'm feeling really anxious.,0
Sophia,I'm feeling sick.,0
Michael,I'm feeling neither happy nor sad.,2
Michael,I'm disappointed with the results.,0
Daniel,Every day is a blessing.,1
Michael,Nothing is going my way.,0
Alice,I'm in a great mood today.,1
Michael,Spending time with friends always makes me smile.,1
Olivia,I'm feeling so happy right now.,1
Emma,I love this movie enjoying!,1
Michael,I hate Mondays.,0
Bob,I accomplished my goals today.,1
Olivia,I had a great day.,1
Alice,Just another regular day.,2
Daniel,I'm upset about what happened.,0
Michael,I'm surrounded by wonderful people.,1
Emma,The food at that restaurant was fantastic.,1
Daniel,The sun is shining grateful!,1
John,It's a standard day.,2
Emma,Just another regular day.,2
Emily,I had a great day.,1
Michael,I lost my wallet.,0
John,Just finished my homework.,2
Michael,I'm so excited about the future.,1
John,I'm feeling really down today.,0
Olivia,The movie I watched was alright.,2
James,This vacation was exactly what I needed.,1
Michael,Nothing out of the ordinary happened.,2
Alice,I hate Mondays.,0
Bob,Every day is a blessing.,1
Daniel,Nothing out of the ordinary happened.,2
Bob,I'm feeling indifferent about everything.,2
Bob,It's a standard day.,2
Olivia,I'm thinking about what to have for dinner.,2
Olivia,I have some errands to run.,2
Bob,I love this movie happy!,1
Emma,The weather is beautiful today.,1
James,Nothing special happened today.,2
John,The weather is beautiful today.,1
Emily,The sun is shining optimistic!,1
Alice,I'm in a bad mood.,0
Emma,Nothing special happened today.,2
Olivia,I don't have strong feelings either way.,2
Daniel,I'm feeling really anxious.,0
Bob,Just finished my homework.,2
Michael,I'm so stressed out.,0
Olivia,I love this movie excited!,1
James,I'm feeling optimistic about everything.,1
Sophia,I'm feeling really down today.,0
James,I'm surrounded by wonderful people.,1
Michael,My car broke down.,0
Michael,I'm so frustrated right now.,0
Emma,Nothing out of the ordinary happened.,2
Alice,Just going through the motions.,2
Sophia,This vacation was exactly what I needed.,1
Emily,I'm feeling neither happy nor sad.,2
Daniel,I'm feeling really anxious.,0
Emma,I'm feeling sick.,0
Alice,I'm feeling really anxious.,0
Emily,This is the worst day ever.,0
Daniel,I had a great day.,1
Michael,I lost my wallet.,0
Bob,I hate Mondays.,0
John,Just going through the motions.,2
Emily,I don't have strong feelings either way.,2
Emma,I'm disappointed with the results.,0
Alice,The movie I watched was alright.,2
Olivia,Every day is a blessing.,1
Bob,Today is neither good nor bad.,2
John,I'm disappointed with the results.,0
James,I got promoted at work happy!,1
James,The sun is shining happy!,1
Alice,I'm in a bad mood.,0
Bob,I'm not particularly excited or upset.,2
Emily,Today was amazing great!,1
Michael,This vacation was exactly what I needed.,1
Alice,I'm feeling really anxious.,0
Olivia,This book is okay.,2
Alice,I had a terrible day.,0
Olivia,I'm feeling optimistic about everything.,1
Emma,I'm upset about what happened.,0
Emily,Everything is going wrong.,0
Michael,I'm going to the grocery store.,2
